article_id,year,author
1733,2008,Adam J L Harris
1733,2008,Adam Corner
1733,2008,Ulrike Hahn
1734,2008,Ian J Tharp
1734,2008,Alan D Pickering
1735,2008,Wolfgang Gaissmaier
1735,2008,Lael J Schooler
1736,2008,Luca Onnis
1736,2008,Heidi R Waterfall
1736,2008,Shimon Edelman
1737,2008,Manon W Jones
1737,2008,Mateo Obregón
1737,2008,M Louise Kelly
1737,2008,Holly P Branigan
1738,2008,Arne Ridderikhoff
1738,2008,C Lieke E Peper
1738,2008,Peter J Beek
1739,2008,David Soto
1739,2008,Glyn W Humphreys
1740,2008,Thérèse Collins
1740,2008,Tobias Schicke
1740,2008,Brigitte Röder
1741,2008,Heather M Norbury
1741,2008,Sandra R Waxman
1741,2008,Hyun-Joo Song
1742,2008,Amit Dubey
1742,2008,Frank Keller
1742,2008,Patrick Sturt
1743,2008,Fabrice B R Parmentier
1744,2008,Nicolas Vermeulen
1744,2008,Olivier Corneille
1744,2008,Paula M Niedenthal
1745,2008,Michal Pinhas
1745,2008,Martin H Fischer
1746,2008,Hyun-Joo Song
1746,2008,Kristine H Onishi
1746,2008,Renée Baillargeon
1746,2008,Cynthia Fisher
1747,2008,Hilary C Barth
1748,2008,Jonathan W Kelly
1748,2008,Timothy P McNamara
1748,2008,Bobby Bodenheimer
1748,2008,Thomas H Carr
1748,2008,John J Rieser
1749,2008,Patrick Shafto
1749,2008,Charles Kemp
1749,2008,Elizabeth Baraff Bonawitz
1749,2008,John D Coley
1749,2008,Joshua B Tenenbaum
1750,2008,Asifa Majid
1750,2008,James S Boster
1750,2008,Melissa Bowerman
1751,2008,Vera Demberg
1751,2008,Frank Keller
1752,2008,Laura E Schulz
1752,2008,Noah D Goodman
1752,2008,Joshua B Tenenbaum
1752,2008,Adrianna C Jenkins
1753,2008,Matthew M Botvinick
1753,2008,Yael Niv
1753,2008,Andrew C Barto
1754,2008,Emmanuel Dupoux
1754,2008,Vincent de Gardelle
1754,2008,Sid Kouider
1755,2008,Juliane Kaminski
1755,2008,Josep Call
1755,2008,Michael Tomasello
1756,2008,Sarah Brown-Schmidt
1756,2008,Agnieszka E Konopka
1757,2008,Haley A Vlach
1757,2008,Catherine M Sandhofer
1757,2008,Nate Kornell
1758,2008,Severine Koch
1758,2008,Rob W Holland
1758,2008,Ad van Knippenberg
1759,2008,Mutsumi Imai
1759,2008,Sotaro Kita
1759,2008,Miho Nagumo
1759,2008,Hiroyuki Okada
1760,2008,Mary E Stewart
1760,2008,Mitsuhiko Ota
1761,2008,Sergio E Chaigneau
1761,2008,Ramón D Castillo
1761,2008,Luis Martínez
1762,2008,Jill P Morford
1762,2008,Angus B Grieve-Smith
1762,2008,James MacFarlane
1762,2008,Joshua Staley
1762,2008,Gabriel Waters
1763,2008,Debbie M Kelly
1763,2008,Walter F Bischof
1764,2008,Brechtje Post
1764,2008,William D Marslen-Wilson
1764,2008,Billi Randall
1764,2008,Lorraine K Tyler
1765,2008,Mary Jane Spiller
1765,2008,Ashok S Jansari
1766,2008,Holger Mitterer
1766,2008,Mirjam Ernestus
1767,2008,Sabine Gillner
1767,2008,Anja M Weiss
1767,2008,Hanspeter A Mallot
1768,2008,Dale J Barr
1769,2008,Ashleigh M Richard
1769,2008,Steven J Luck
1769,2008,Andrew Hollingworth
1770,2008,C Neil Macrae
1770,2008,Oonagh K Duffy
1770,2008,Lynden K Miles
1770,2008,Julie Lawrence
1771,2008,Ralph Hertwig
1771,2008,Björn Benz
1771,2008,Stefan Krauss
1772,2008,Nick Chater
1773,2008,Ulf Liszkowski
1773,2008,Malinda Carpenter
1773,2008,Michael Tomasello
1774,2008,M van 't Wout
1774,2008,A G Sanfey
1775,2008,Sabrina Simmons
1775,2008,Zachary Estes
1776,2008,Kenny R Coventry
1776,2008,Berenice Valdés
1776,2008,Alejandro Castillo
1776,2008,Pedro Guijarro-Fuentes
1777,2008,David A Lagnado
1777,2008,Shelley Channon
1778,2008,Evelyn Rosset
1779,2008,Jon Brock
1779,2008,Courtenay Norbury
1779,2008,Shiri Einav
1779,2008,Kate Nation
1780,2008,Todd R Ferretti
1780,2008,Murray Singer
1780,2008,Courtney Patterson
1783,2008,Jules Davidoff
1783,2008,Elisabeth Fonteneau
1783,2008,Joel Fagot
1784,2008,Cristina Baus
1784,2008,Eva Gutiérrez-Sigut
1784,2008,Josep Quer
1784,2008,Manuel Carreiras
1785,2008,Delphine Dahan
1785,2008,Sarah J Drucker
1785,2008,Rebecca A Scarborough
1786,2008,Anna Stone
1787,2008,Jakob Hohwy
1787,2008,Andreas Roepstorff
1787,2008,Karl Friston
1788,2008,Katherine H Canobi
1788,2008,Narelle E Bethune
1789,2008,Catherine Chapados
1789,2008,Daniel J Levitin
1790,2008,Rachel Pulverman
1790,2008,Roberta Michnick Golinkoff
1790,2008,Kathy Hirsh-Pasek
1790,2008,Jennifer Sootsman Buresh
1791,2008,Tuomas Teinonen
1791,2008,Richard N Aslin
1791,2008,Paavo Alku
1791,2008,Gergely Csibra
1792,2008,Mandana Seyfeddinipur
1792,2008,Sotaro Kita
1792,2008,Peter Indefrey
1793,2008,Daphna Heller
1793,2008,Daniel Grodner
1793,2008,Michael K Tanenhaus
1794,2008,Meghan Clayards
1794,2008,Michael K Tanenhaus
1794,2008,Richard N Aslin
1794,2008,Robert A Jacobs
1795,2008,John E Opfer
1795,2008,Jeffrey M Devries
1796,2008,Barbara W Sarnecka
1796,2008,Susan Carey
1797,2008,Annette Bolte
1797,2008,Thomas Goschke
1798,2008,Kerry E Jordan
1798,2008,Evan L Maclean
1798,2008,Elizabeth M Brannon
1799,2008,Merim Bilalić
1799,2008,Peter McLeod
1799,2008,Fernand Gobet
1800,2008,Ji Y Son
1800,2008,Linda B Smith
1800,2008,Robert L Goldstone
1801,2008,Michael C Frank
1801,2008,Daniel L Everett
1801,2008,Evelina Fedorenko
1801,2008,Edward Gibson
1802,2008,Robert J Hartsuiker
1802,2008,Ciara M Catchpole
1802,2008,Nivja H de Jong
1802,2008,Martin J Pickering
1803,2008,Michael D Dodd
1803,2008,Stefan Van der Stigchel
1803,2008,M Adil Leghari
1803,2008,Gery Fung
1803,2008,Alan Kingstone
1804,2008,Vladimir M Sloutsky
1805,2008,Amy S Finn
1805,2008,Carla L Hudson Kam
1806,2008,Samuel Shaki
1806,2008,Martin H Fischer
1807,2008,Daniel M Bartels
1808,2008,Justin N Wood
1809,2008,W Todd Maddox
1809,2008,Bradley C Love
1809,2008,Brian D Glass
1809,2008,J Vincent Filoteo
1810,2008,Jennifer A Zapf
1810,2008,Linda B Smith
1811,2008,Lari Vainio
1811,2008,Ed Symes
1811,2008,Rob Ellis
1811,2008,Mike Tucker
1811,2008,Giovanni Ottoboni
1812,2008,Gary Lupyan
1813,2008,Fiery Cushman
1814,2008,Marjorie Rhodes
1814,2008,Daniel Brickman
1814,2008,Susan A Gelman
1815,2008,Zachary Estes
1815,2008,Michelle Verges
1816,2008,Peter J Hills
1816,2008,Michael B Lewis
1816,2008,R C Honey
1817,2008,Tad T Brunyé
1817,2008,David N Rapp
1817,2008,Holly A Taylor
1818,2008,Merrit A Hoover
1818,2008,Daniel C Richardson
1819,2008,Natalie D Snoeren
1819,2008,Juan Seguí
1819,2008,Pierre A Hallé
1820,2008,Anna Papafragou
1820,2008,Justin Hulbert
1820,2008,John Trueswell
1821,2008,Geoffrey P Goodwin
1821,2008,P N Johnson-Laird
1822,2008,Fiery Cushman
1822,2008,Joshua Knobe
1822,2008,Walter Sinnott-Armstrong
1823,2008,Joana Acha
1823,2008,Manuel Perea
1824,2008,Atsushi Senju
1824,2008,Gergely Csibra
1824,2008,Mark H Johnson
1825,2008,Jennifer E Arnold
1826,2008,Daniel Mirman
1826,2008,James S Magnuson
1826,2008,Katharine Graf Estes
1826,2008,James A Dixon
1827,2008,Qi Wang
1828,2008,Weimin Mou
1828,2008,Chengli Xiao
1828,2008,Timothy P McNamara
1829,2008,Jonathan St B T Evans
1829,2008,Helen Neilens
1829,2008,Simon J Handley
